product,verified,rating,location,date,author,content,title
Google Nest Cam Outdoor - Weatherproof Outdoor Camera for Home Security - Surveillance Camera with Night Vision - Control with Your Phone,1,1.0,Reviewed in the United States ,21 Feb 2018,E. Gaston,"Good at first, then becomes terrible VERY quickly once your return/trial period is over. Really wanted to like this item, and I would have written a glowing review during the 30 day Nest Aware trial period.  Installation was relatively easy (more on that later), and the app worked wonderfully, as did viewing of historic footage.  Clearly my home internet was quite capable of delivering the upstream needed, and I viewed the cam from a number of different apps and internet connections without issue and with very limited buffering (1-2 seconds at the most, one time).  Alerts worked great. After the trial period ended and Nest charged me for my first month of service, everything went downhill.  Alerts stopped firing.  Viewing live was impossible.  Viewing historic footage became impossible.  The buffering wheel became my best friend.  Nest said it was my internet connection, either on the camera or wherever I was connecting from.  Nothing had changed on my home network, and I was accessing the camera over 50+ gig LTE and from a business fiber connection, same as before the paid period started, along with the issues.  This was NOT on my end, but they refused to continue to help me because it was an internet issue ""on my end"".  Throughput on my home network is the same as it was a month ago.  My downstream speeds are the same at the other locations as they were a month ago. From here, Nest basically ignored the issue, and a quick search reveals this is NOT an uncommon problem.  Think about millions of these cameras, each uploading 300 GB of data per month, and millions of users trying to stream that data--I just don't think Nest has the hardware infrastructure to serve that sort of data load, and the company just gives you a ""priority lane"" during the trial period to fool you into thinking the service is reliable until your return period has ended. As to installation--Everything was easy and straightforward except for the power cable design.  On one end is a huge white block of plastic--the camera.  On the other, a huge white block of plastic surrounding a USB plug in the interest of weatherproofing it.  This is a wire you're going to have to pass through an opening in your house's structure, and they made the thing nearly an inch in diameter, requiring you to drill a MUCH larger hole than is actually necessary.  Luckily, I was able to go in through a plastic attic vent in the eave and down through sheetrock, but it was far more complicated than it should have been, since I was replacing a camera with a normal DC barrel connector wire and had to enlarge all the pass-throughs. Also, watch your fingers around the magnet mount.","Good at first, then becomes terrible VERY quickly once your return/trial period is over due to provider issues on backend"
Google Nest Cam Outdoor - Weatherproof Outdoor Camera for Home Security - Surveillance Camera with Night Vision - Control with Your Phone,1,1.0,Reviewed in the United States ,24 Aug 2019,Roberta Thomas,"Daytime recording is very nice and crisp, but I feel that nighttime vision is just so-so. It will pick up a bug flying by at night, but doesn't pick me up when I am outside with the dog. Either way, the camera will alert you to motion, voices, dog barking, birds calling, leaves blowing, cars passing by.  You can set this up so that it isn't as sensitive to leaves and birds, but then you might lose out on other aspects of what you bought it for. You can also set ""zones"" to where you adjust the camera to certain areas of your yard, pointing towards your door (for instance), etc. It has a lot of ways to tweak the set up so that you are happy with where it is pointing.  We purchased three of these cameras with the option of being able to turn off the glowing green light that shows that the camera is recording but recently Google changed this option and you can no longer turn this off, which means that when it is recording, it glows.  I have called the company and they suggest placing a piece of electrical tape over the green light so that no one can see it glowing green. If you are looking for something more discreet, and don't want a light to glow while recording, or if you are looking for excellent night vision, research other cameras before you buy this one.","Cannot disable the status light, night vision is so-so"
Google Nest Cam Outdoor - Weatherproof Outdoor Camera for Home Security - Surveillance Camera with Night Vision - Control with Your Phone,1,1.0,Reviewed in the United States ,16 Aug 2019,Barb,"WARNING GOOGLE/NEST have forced a change to the status light!!!  You can no longer shut it off so now the cameras will be easy to find with their beaming status light.  See below DO NOT PURCHASE they have stolen your rights to how you can control the settings of your cameras Recently, we shared our commitment to privacy to outline how our products work in your home. As part of that commitment, we explained that you will always see a clear visual indicator when your Nest cameras are on and sending video and audio to Nest. So we’re changing how the status lights function on Nest cameras, Dropcam, and Nest Hello. You will be able to dim the light on your camera, but it will always be on when the camera is on. We’re doing this to make sure you, and those around your camera, are aware when the camera is on and recording. Starting today, we’re rolling out the following changes: • In Settings for all Nest cameras and Nest Hello, the ability to turn off the status light will be removed. Instead, you’ll be able to dim the status light. When the camera is on, the status light will glow green. • For Dropcam, the setting to turn off the status light will be removed. When the camera is on, the status light will glow blue. • On Nest Cam, Dropcam, and Nest Hello, the status light will blink when the camera’s live video is streamed from the Nest app. The setting to turn this off will be removed. We’re making these changes for greater transparency and privacy in your home. You can learn more about the status light updates here. If you have questions or need additional details, please contact support. - The Google Nest team",WARNING Google controls status lights not you
Google Nest Cam Outdoor - Weatherproof Outdoor Camera for Home Security - Surveillance Camera with Night Vision - Control with Your Phone,1,1.0,Reviewed in the United States ,29 Aug 2020,Braden gallucci,"This is not a good product considering the cost. If u are fully invested in nest then you are s#%t out of luck. Other wise try a different company and save yourself the DAILY headaches. After i received the replacement cameras one no longer goes off line but the other one is at least twice a day. I find that the issue is not my wifi but in fact the camera because when I try to reconnect it to wifi even the app can not find the camera with me standing right next to it the only way to get it back on line is to unplug it for 5 min then plug it back it and it will work until it looses signal again. The twice daily or more loss of connection has made me put in for replacement cameras. We shall see how it goes. Another update: I think I should have stayed away from these cameras every day I receive notice that one or the other camera has been off line for more then 10 min, every single day. As I do not have issues with the other 2 nest cams or any of my other smart home devices going off line I have to assume that this is due to poor quality. For the cost of the cameras they should be much much better quality. Google's customer service is 100% non existent. Not to say you can not get a hold of someone it's just that they really dont care about there customers they have your money so what more do they need to do. I have a gig of internet no caps or slowdowns so when customer service says it's my internet connection there just trying to push the blame on to the customer. Take it or leave it but dont say you have not been warned. Update: cameras are off line on a regular basis none on my other cameras including nest indoor and hello doorbell never go off line dont know if uts an issue with google or the cameras but the fact that only theses cameras go off line I have to assume it's the cameras. The cameras are just fine. The app is down right horrible and customer service is no where to be found. My biggest concern is changing wifi means you MUST uninstall the camera and reskan the qr code. So my camera above my garage I new have to go back up and reskan the bar code just to change the wifi that literally makes no sense. Can someone on this planet please inform me why I need to reskan the code! According to Google it's just they way it is. That is the answer after 3hrs mostly on hold with customer service. I really hope google sells nest to anyone else because NEST used to be a great product with fantastic customer service.",Expensive poorly made products
Google Nest Cam Outdoor - Weatherproof Outdoor Camera for Home Security - Surveillance Camera with Night Vision - Control with Your Phone,1,4.0,Reviewed in the United States ,14 Nov 2017,Whatever,"Updated: 01/29/18. My subscription was about to end and I was planning to cancel.  But then I noticed that Nest updated the iPhone app from 5.15 to 5.17 within the last couple months. So I decided to give Nest another chance. I deleted the Nest app and reinstall the latest update (I decided to delete the app to make sure I have a clean install). I also reset/reconfigured my 4 cameras. And finally, I factory reset my Ubiquiti network equipment. It took my entire weekend to reconfigure everything. It was painful but I didn't want to dump my $1K investment without one last ditch to make it work. AND.... it works. I have been monitoring it for the last few weeks. Video buffering (blue ring of death) is much quicker (less than 5 seconds most of the time. Prior to the fix was 60+ seconds all the time). App responds quicker on wifi and LTE. The overall experience is much better (day to night comparison).  I am not sure what fixed or resolved my issue with the Nest Cloud services. It could be the new updates from Nest or some bad original configs in the cameras or the network. It could be the fact that I reset/rebooted everything solved the problem too. Anyway, I am glad that it has been working for the past few weeks. I have changed my rating to 4 stars since I am satisfied how the entire Nest system is working for me at this time. Orginal review: 11/14/17 1 star - I bought 4 outdoor Nest cameras. I have 200Mb Up/Down internet. I have the Ubiquiti network gears and APs. This review is after 9+ months of usage. These 1080p cameras are very good during the daytime and nighttime. The live feed and video recording are very clean and sharp. The speaker on the camera is louder than all other cameras I had in the past. The microphone is sensitive enough to pick up faint sound in the surrounding area. Setup was simple enough. If this review is all about the cameras ONLY, then I would give the rating of 4 stars (I hate the fat power cords, that I had to drill some big holes through my walls to get the UBS dongles through.)  However, this review is about the cameras and the cloud services as a complete system/ecosystem. My issues are mostly with the cloud services. Nest aware is okay on most features. However, on a typical bright day with a slight breeze in my backyard, the sun casts shadows of moving trees branches. Nest would send me tons of alert notifications. I have turned off this notification out of annoyance. Video recording works very well but my BIGGEST complaint is about accessing the live feeds (technically, there is about a 1 - 2 second delay due to Internet latency) or the recorded videos. Most of the time, I get the blue rings (video buffering). I usually have to wait between 30 - 60 seconds. If I wait more than 60 seconds, I usually close out and restart the app. This issue has been happening on iPhone 6s, 7, or on my PCs. The problem happens when I am using home wifi, work wifi, or out around about on LTE. It happens all the time. My most frustrating times were during the events when I needed to check for the alerts right away, by the time I got to the live feed, 60 seconds already passed. Then I tried to access the recording, I waited for another 30 – 60 seconds. Imagine at 2 AM, you receive an alert in a zone that suppose to be cleared. You click on the Nest app on your phone and you see the blue ring for couple minutes. I can tell you though couple minutes seem like a very long time. :( The subscriptions for 4 cameras are not cheap with Nest. I am okay with the cost but I want the services to work at least 99% of the time without the annoying blue circles. Without the Nest cloud services, these cameras are just paperweights. I searched Nest website and forum for a solution. What recommended was to turn down the video quality.  Are you kidding me? I bought $200 per camera and paid expensive subscription fees and I need to turn down the video quality to work better. FYI - my 200MB up/down Internet and $1K network are not the problems. Unless Nest addresses their cloud performance issues, I am hoping to save some of you some money and time. If you think I did something wrong, I would love to hear some recommendations, if I get better performance, I will be more than glad to change this review to positive. Best wishes, Mike",Outdoor Camera is great. Nest Cloud Services okay.
Google Nest Cam Outdoor - Weatherproof Outdoor Camera for Home Security - Surveillance Camera with Night Vision - Control with Your Phone,1,1.0,Reviewed in the United States ,25 Feb 2020,Bigfoot,"I bought four nest outdoor camera with the wrong understanding, which I read from the web, that the subscription cost for all camera would be $5/month for all cameras. Apparently that’s no longer the case and the new nest sense subscription is per camera based. I would never pay hundreds of dollars a year for camera subscription. Now I don’t know what to do with the cameras since they only records three hours and are pretty dumb camera without the subscriptions. Google provided the net sense trial subscription without asking for my consent, without asking for my credit card number, and without explaining to me the feature difference with and without the subscription. By doing so, they took away my right to evaluate the camera without the subscription in the 30 day product return windows. In other words, Google tricked me in keeping the cameras passed the return deadline without experiencing the cameras without subscription.  By the way, my nest sense trial subscription is supposed to expire on March 1, 2020, but stopped since yesterday, February 24, 2020.",I would not have bought them if I knew better
Google Nest Cam Outdoor - Weatherproof Outdoor Camera for Home Security - Surveillance Camera with Night Vision - Control with Your Phone,1,2.0,Reviewed in the United States ,14 Aug 2019,Luke Schafer,"Buy at your own risk, Nest/Google can disable features and controls at will after you purchase. I have owned two of these cameras for over a year now. Google just notified users that the ability to turn the LED status indicator lights on or off will no longer be an option. They are forcing the lights to remain on despite the fact that customers purchased these devices specifically for their discreet capabilities. Extremely disappointed. A tiny piece of well-placed electrical tape may improve the performance of this new ""feature"" greatly.",CAUTION: Nest/Google Controls Features
Google Nest Cam Outdoor - Weatherproof Outdoor Camera for Home Security - Surveillance Camera with Night Vision - Control with Your Phone,1,1.0,Reviewed in the United States ,16 Oct 2020,DagDerNiT,"I unfortunately made the mistake and purchased Googles Outdoor 1080p (Dual Pack) Security Camera Kit because we already had the Nest Video Doorbell. In order to have video that is recorded, select zones, have Person notification, and several other key features, you must pay a monthly fee. But, besides all that, the images are not 1080p and seem more like standard definition. For example,, in the included picture, the street sign is blurry when zoomed in. My neighbors vehicle license plates are also unreadable from 25 feet and using the Zoom in feature. There are better wifi camera's out there for 1/6th the price. I really wish I could return these and get my $ back but I'm over the return window. I will be throwing them in the garbage or give them to someone I don't care for... Please do your research and don't make the mistake I did. Please hit the ""helpful"" button so I can gauge if people are reading and considering what I write. Thank you and stay safe!","No way it's High Def, Drops outs from STRONG wifi daily, save your money!"
Google Nest Cam Outdoor - Weatherproof Outdoor Camera for Home Security - Surveillance Camera with Night Vision - Control with Your Phone,1,5.0,Reviewed in the United States ,07 Jun 2018,COREYTOWN,"I freaking love these cameras. Over the past couple years, I've been slowly transforming my house into a smart home. Every light bulb in my house is a Phillips Hue color bulb - not relevant to this review but I'm just letting you know. Get good. I knew I'd eventually get cameras but everytime I tried to do research on them I got overwhelmed by all the different options, brands, and minutiae. I would eventually just say UGHHHHH and quit researching. Finally I decided I'd just buy these things and if I didn't like them or something, I'd send em back. I'm so glad that I did. These things are awesome. I installed them myself, it was so much easier than I thought it would be! The trick to get the cord in your attic from where you want to install them is to tape the camera's cord to something called a ""glow rod"" (I noticed they were also called fiberglass wire pull rods and or fish tape in my research), then feed it into the attic through the hole you drilled that's located on that part of your roof that juts out from the outside wall of your house.  Before I installed these cameras I had no idea what a glow rod was, shoutout to that guy that made that youtube video that time. If you've ever went camping and put up one of those dome shaped tents - those flexible rods that join together to hold the tent's structure are basically glow rods. So, if you have one of those tents in your storage room, save yourself a trip to home depot and just use the tent's rod. I'd recommend putting a piece of tape around where each segment combines though, you wouldn't want them to come apart while you're in the attic feeding it to yourself, if the rod was to get stuck while you're pulling it to yourself in the attic and comes apart, you might have to crawl somewhere really cramped and scary to get it. I prefer Google stuff, as opposed to Alexa (sorry Amazon, you know I love you girl). All the TVs in my house have Chromecasts hooked up to them and I have a Google Home speaker in basically every room (am I on your nerves yet? because I'm on mine). Thus, I just have to say ""Hey google, show [what I named that specific camera] on [the name of the specific TV's chromecast I want it to display on] and Google will reply, ""Okay, streaming ABC camera on 123 TV. And boom! I see the creepers coming at night, they're not blowing up my giant pixelated mario again. Those creepers are so rude always trying to blow up my creations. If you've read my review this far, I hope you have the most amazing rest of the day ever. Like I hope today is the day that thing happens that you've been secretly wishing, or subconsciously wishing, would happen forever. :)","If Hank Hill would have had these on Beavis and Butthead, he would have finally caught the boys that been in his toolshed"
Google Nest Cam Outdoor - Weatherproof Outdoor Camera for Home Security - Surveillance Camera with Night Vision - Control with Your Phone,1,3.0,Reviewed in the United States ,04 Feb 2017,R. Marko,I will start with the negative. I am very disappointed with the resolution because I can not read a license plate 30 feet away. With 1080P I should be able to recognize people and read a license plate in daylight. It is set to 1080p and doesn't have the picture I was expecting. At night you can't recognize people at all. You can see someone is there but can't make out who it is (unless they are standing directly in front of the camera). The plus is it notifies me if there is any movement or if a person is spotted. My wife is addicted to watching our chickens and ducks fly around. I can see when family members get home. The service is great and very affordable. Extremely easy to setup. I am glad I bought it but wish the resolution was better.,1080P?
