product,verified,rating,location,date,author,content,title
"Ring Indoor Cam, Compact Plug-In HD security camera with two-way talk, Works with Alexa - White",1,1.0,Reviewed in the United States ,02 Oct 2019,Sickpup94,"I ordered a 2 pack of the Ring Indoor Cameras. They are small and very easy to set up. The video quality during day and night are very good. I’ve tested the cameras out over the past few days and the sound quality is not good. It is choppy and a lot of the time you can’t hear anything. I’ve checked the settings and done multiple tests with people talking or making noises and the recorded sound is spotty at best. One camera is inches away from my WiFi router and the other camera is about 15 feet across the room from the WiFi router. I have two Nest indoor cameras and they have no problem picking up noises and sound. They even alert me to loud sounds, like breaking glass. and voices. I think Ring needs to go back to the drawing board for their audio recording microphones and audio software. I’ll keep the Ring Indoor cameras and find someplace for them, but they won’t be replacing my Nest cameras as I had hoped. ***UPDATE 12/18/19*** A Ring customer service representative reached out to me after my review. They asked for video/audio clips, so they could see and hear what the issues are with the Ring indoor mini cams. I provided them quite a few. I also let them know that sometimes the recordings were just black screens with nothing visually or audio recorded. The Ring customer rep advised that the problem wasn’t with the Ring indoor mini cam, it was my internet service provider (cable company). They told me to see if my router was updated and that I probably needed to upgrade to a package with greater upload speed, instead of my existing package that had an upload speed of 5mbps.  Ring also told me that on average, each Ring camera needs 2mbps upload speed, although not all cameras use it at the same time. I contacted my internet provider and they advised that the router was updated and nothing needed to be done. So I bumped my internet package to their highest upload speed of 10mbps and a download speed of 100mbps, which also got me a new router installed by a technician. I’ve had the new router with faster speeds for about a week now. NOTHING has improved with these cameras. The Audio is garbage and choppy. The movement in the video is choppy. I’m feeling like the Ring indoor mini cam is just a $60 piece of junk that is overly packed with crappy Alexa software that I’ll never use and that is adversely effecting the video and audio capability of the camera. Save your money and BUY A NEST CAM or some other brand.","Choppy Video, Horrible Audio"
"Ring Indoor Cam, Compact Plug-In HD security camera with two-way talk, Works with Alexa - White",1,2.0,Reviewed in the United States ,21 Dec 2019,Dparke,"We recently bought a Ring alarm system, which so far, I am pleased with. I wanted the camera to augment the alarm system. My desire is to have the camera off when I am home, but then turn it on when the house is empty so I will be able to see what is going on in my home when I get a notification. But I was amazed that I could not turn the camera on or off remotely from the app. This seems like such an obvious feature to have. All I can do is turn recording of video/audio on or off.  I do not want people in my home to be under 24 hour surveillance if they are by themselves, that seems a little creepy. Also, given the stories in the news lately, it increases the creepiness factor. I spoke with a Ring rep, and he said I was not the only one to make this complaint and they are looking into it. But after reading other reviews it seems that a lot of things are said to be coming, but have not become a reality yet. If this ever happens I would likely get some cameras, but until then I am returning it.",Cannot turn on or off from the app
"Ring Indoor Cam, Compact Plug-In HD security camera with two-way talk, Works with Alexa - White",1,5.0,Reviewed in the United States ,23 Jul 2020,OSCAR,"I used the indoor camera as an outside camera. Let me tell you it works amazing outside. I have it underneath the flashing of the  roof. I drilled a hole through the wood and into the garage to plug in as a permanent placement. I live in Arizona and have had the temp at 105F degrees. Also now it is monsoon season. The camera has been working great for the last 4 months under these conditions. I modified the color by painting it black with plasti-dip as I figured it would “seal” it from the elements.  I believe that if I didn’t plasti-dip the camera it would have been fine. An additional reason to paint it was to subdue the white from being seen easy outdoors. None of my neighbors knew I had a camera outside and even my close friends had a hard time finding it.  Due to the size of the indoor camera versus the outdoor camera this was a good pick. I looked for reviews all over to see if anyone had Weathered the indoor camera outside and I couldn’t find one. Let me tell you again if you are able to place this in a good area outside where it can be shielded from the elements, it will be fine. The pic that I have is viewed from underneath looking up. The metal piece is the underside of the roof and the wood is the inner/uppermost part of under the roof. I am able to see all my driveway and street with no problem. My wifi router is about 50 feet away and is when the garage door is closed the signal has go through that, the door in the garage that leads into the laundry room, that is sealed by another door, that leads into a hallway, that leads into the living room that has the wifi router. I have 100mb data plan for my wifi and I have no problems viewing or receiving info from the camera.",Indoor Ring... outside!!!!perfect!!!!
"Ring Indoor Cam, Compact Plug-In HD security camera with two-way talk, Works with Alexa - White",1,1.0,Reviewed in the United States ,06 Oct 2019,VigorGS,"Can’t believe Ring put this device on the market. Their wired products are usually absolutely wonderful (battery powered devices leave a lot to be desired) with that said, this wired cam is as cheaply made as could be. The power adapter is extremely flimsy, if you want to use this thing mounted better make sure the cable and micro usb plug-in is reinforced with a home made adjustment, as this thing has absolutely NO snap in at all, horrendous. In my situation it just keep popping out. I’ve already had the device need to go through the setup process again to get it to work, I have no idea why. The device all of a sudden was stuck in black and white, until again I went through the setup process. Jeez. As the old adage goes. You get what you pay for. And at this low cost, it appears, at least in my opinion, you get a rock bottom product.","Cheap, flimsy, rock bottom budget device"
"Ring Indoor Cam, Compact Plug-In HD security camera with two-way talk, Works with Alexa - White",1,1.0,Reviewed in the United States ,14 Oct 2019,D. R. lee,"This piece of crap Is going back. It takes forever to get a live view if you get one at all and the app keeps disconnecting. The only useful interaction with Alexa is a verbal alert to all Echos that motion has been detected. You still have to ask the Show to show the feed. That takes way too long. I gave it a longer test and it got worse. Notifications are sent ALL your Echo devices with no way to just pick the ones you want. I made a routine to notify just one Show 5 that worked but I still couldn't turn off the other 8 devices. Notifications were sometimes minutes too late. I was contacted by Amazon support because of this review but it too late. I had already boxed it and printed the label. Besides, it had way too many issues. I just removed another star. Ring sent an email survey with a followup reply due to the low score and my reply was returned as undeliverable. They can't even do that right.",Very Disappointed!
"Ring Indoor Cam, Compact Plug-In HD security camera with two-way talk, Works with Alexa - White",1,1.0,Reviewed in the United States ,30 Oct 2019,Jenn,"I am angry because my return window closed Oct 28, and my Ring Protect Plan free trial ended Oct 29. Why is this annoying? I didn't realize I could not save the videos to my phone after that trial. I did not realize I cannot view ANY event videos without a paid subscription plan. I thought I'd be able to save the videos locally. Nope. My Kasa cams have better video, more accurate motion detection, and I don't need a paid plan to view a limited number of videos. This was a complete waste of money. I now have a useless paperweight and I'm just past my return window. I'm furious & in all my years as a Prime customer, I'd think an exception could be made.","You cannot record to a local drive - cloud only, then you can download"
"Ring Indoor Cam, Compact Plug-In HD security camera with two-way talk, Works with Alexa - White",1,5.0,Reviewed in the United States ,09 Oct 2019,susan l black,"Bought 2. Set up ok quality of picture blurry on one and wire loose. Sent back for replacement. Got replacement one very quickly++++ it works great. Bought 2 more of these indoor cams @ $60. All work great, outdoor pictures thru glass. Had trouble getting one not to alarm even with all the zone and time off settings. Unplugged it for a few hours. Plugged back in and now no error alarms. Decent distance sensitivity from second story window. 100-150 feet to trigger motion.  Not sure if camera recording lag from from when alarm triggers. Just curious...  buying a fifth one for three outside views of property one outside view of entry door, teamed with motion sensor porch light.....not affiliated already had ....and one for inside, along with motion and door sensors. Also freeze, water alarm. So far at one week good experience  Ps broad field of view does reduce distance clarity when zoom picture. Wyze2 might be better for that..  Note outdoor use comments is daytime. Have not used sensors on cameras at night without other light  cameras beyond it sensors range",Great so far. Replacement easy thru amazon.
"Ring Indoor Cam, Compact Plug-In HD security camera with two-way talk, Works with Alexa - White",1,5.0,Reviewed in the United States ,24 Oct 2019,PC,At $60 this camera is a great value!  Very small size and easy setup just like all other Ring cameras.  The picture quality is excellent and this camera actually has the ability to disable the IR sensors!! You can now use this behind glass at night!!  The only negative is the power adapter has a fixed cord.  Luckily its still 5v and 2A but you will need a deep micro usb connector if you want to replace with your own cable.,Excellent Value Ring Camera!
"Ring Indoor Cam, Compact Plug-In HD security camera with two-way talk, Works with Alexa - White",1,5.0,Reviewed in the United States ,24 Nov 2019,GGSM Mobile,"Pros: - Good video quality. Good night vision. - Big plus for the siren feature which can scare off intruders. - Big plus for the community/neighbors feature which allows you insight to activities/alerts around your neighborhood and community. - Easy setup. Cons: - Odd app user interface. Why do the user have to click ""Tap to Go Live"" every time? Why can't the live video load automatically? - I wish Ring would offer a shorter storage length (i.e. 24 hours) for free, but 30 bucks a year for 60 day storage is a very good deal.","Impressive, with some room for improvements"
"Ring Indoor Cam, Compact Plug-In HD security camera with two-way talk, Works with Alexa - White",1,4.0,Reviewed in the United States ,29 Sep 2019,Nicholas M.,"So just got this I will tell you the things I love. The price$60 can’t beat it. Setup was super easy just scan the back and your about done. Camera has awesome clarity. The down side: it’s not really with the camera but with the ring app. This is in my house I only want it to record when my alarm is away or in home mode. I don’t need it to record me all day long.  The other thing is, why does ring keep using a 2.4 connection.",Good camera for the money
