device-group,product,topic,time,frac-reviews,avg-rating
Cameras,NestOutdoorCam,all reviews,0,0.0,1
Cameras,NestOutdoorCam,all reviews,1,0.0,1
Cameras,NestOutdoorCam,all reviews,2,0.0,1
Cameras,NestOutdoorCam,all reviews,3,0.0,1
Cameras,NestOutdoorCam,all reviews,4,0.0,1
Cameras,NestOutdoorCam,all reviews,5,0.0,1
Cameras,NestOutdoorCam,all reviews,6,0.07322059096822152,4.5786802030456855
Cameras,NestOutdoorCam,all reviews,7,0.03010592826612154,4.37037037037037
Cameras,NestOutdoorCam,all reviews,8,0.06095521278572756,4.429878048780488
Cameras,NestOutdoorCam,all reviews,9,0.06820293625720127,4.253405994550409
Cameras,NestOutdoorCam,all reviews,10,0.2625905965433934,4.547770700636943
Cameras,NestOutdoorCam,all reviews,11,0.01839806727374094,4.252525252525253
Cameras,NestOutdoorCam,all reviews,12,0.037725329864337485,3.8472906403940885
Cameras,NestOutdoorCam,all reviews,13,0.032335997026574984,4.022988505747127
Cameras,NestOutdoorCam,all reviews,14,0.09682215201635384,4.535508637236084
Cameras,NestOutdoorCam,all reviews,15,0.005203493774391377,4.0
Cameras,NestOutdoorCam,all reviews,16,0.011336182865638356,3.7868852459016393
Cameras,NestOutdoorCam,all reviews,17,0.013194573499349563,3.816901408450704
Cameras,NestOutdoorCam,all reviews,18,0.14179520535216503,4.473132372214941
Cameras,NestOutdoorCam,all reviews,19,0.009477792231927152,4.294117647058823
Cameras,NestOutdoorCam,all reviews,20,0.034380226723657314,4.394594594594595
Cameras,NestOutdoorCam,all reviews,21,0.0603976955956142,4.403076923076923
Cameras,NestOutdoorCam,all reviews,22,0.043858018955584464,4.135593220338983
Cameras,NestOutdoorCam,all reviews,23,0.0,1
Cameras,NestOutdoorCam,all reviews,24,0.0,1
Cameras,NestOutdoorCam,PS,0,0.0,1
Cameras,NestOutdoorCam,PS,1,0.0,1
Cameras,NestOutdoorCam,PS,2,0.0,1
Cameras,NestOutdoorCam,PS,3,0.0,1
Cameras,NestOutdoorCam,PS,4,0.0,1
Cameras,NestOutdoorCam,PS,5,0.0,1
Cameras,NestOutdoorCam,PS,6,0.020070618844081026,4.314814814814815
Cameras,NestOutdoorCam,PS,7,0.010035309422040513,3.9814814814814814
Cameras,NestOutdoorCam,PS,8,0.019513101653967663,4.180952380952381
Cameras,NestOutdoorCam,PS,9,0.019513101653967663,3.7714285714285714
Cameras,NestOutdoorCam,PS,10,0.06615870656011894,4.455056179775281
Cameras,NestOutdoorCam,PS,11,0.004460137520906894,4.375
Cameras,NestOutdoorCam,PS,12,0.01207953911912284,3.3692307692307693
Cameras,NestOutdoorCam,PS,13,0.007805240661587065,3.380952380952381
Cameras,NestOutdoorCam,PS,14,0.025645790745214645,4.507246376811594
Cameras,NestOutdoorCam,PS,15,0.001486712506968965,4.875
Cameras,NestOutdoorCam,PS,16,0.0026017468871956887,2.4285714285714284
Cameras,NestOutdoorCam,PS,17,0.003716781267422412,3.55
Cameras,NestOutdoorCam,PS,18,0.028619215759152574,4.220779220779221
Cameras,NestOutdoorCam,PS,19,0.001858390633711206,3.7
Cameras,NestOutdoorCam,PS,20,0.006690206281360342,4.166666666666667
Cameras,NestOutdoorCam,PS,21,0.013752090689462926,4.418918918918919
Cameras,NestOutdoorCam,PS,22,0.008362757851700427,4.111111111111111
Cameras,NestOutdoorCam,PS,23,0.0,1
Cameras,NestOutdoorCam,PS,24,0.0,1
Cameras,NestOutdoorCam,security,0,0.0,1
Cameras,NestOutdoorCam,security,1,0.0,1
Cameras,NestOutdoorCam,security,2,0.0,1
Cameras,NestOutdoorCam,security,3,0.0,1
Cameras,NestOutdoorCam,security,4,0.0,1
Cameras,NestOutdoorCam,security,5,0.0,1
Cameras,NestOutdoorCam,security,6,0.01189370005575172,4.609375
Cameras,NestOutdoorCam,security,7,0.004460137520906894,4.375
Cameras,NestOutdoorCam,security,8,0.00873443597844267,4.1063829787234045
Cameras,NestOutdoorCam,security,9,0.007991079724958185,4.0
Cameras,NestOutdoorCam,security,10,0.03530942204051291,4.563157894736842
Cameras,NestOutdoorCam,security,11,0.001858390633711206,4.6
Cameras,NestOutdoorCam,security,12,0.004831815647649135,3.6538461538461537
Cameras,NestOutdoorCam,security,13,0.003716781267422412,3.75
Cameras,NestOutdoorCam,security,14,0.014867125069689648,4.65
Cameras,NestOutdoorCam,security,15,0.0011150343802267236,5.0
Cameras,NestOutdoorCam,security,16,0.0013008734435978444,2.7142857142857144
Cameras,NestOutdoorCam,security,17,0.0020442296970823266,4.090909090909091
Cameras,NestOutdoorCam,security,18,0.01932726259059654,4.490384615384615
Cameras,NestOutdoorCam,security,19,0.0011150343802267236,3.5
Cameras,NestOutdoorCam,security,20,0.003345103140680171,4.5
Cameras,NestOutdoorCam,security,21,0.006876045344731463,4.756756756756757
Cameras,NestOutdoorCam,security,22,0.004831815647649135,4.384615384615385
Cameras,NestOutdoorCam,security,23,0.0,1
Cameras,NestOutdoorCam,security,24,0.0,1
Cameras,NestOutdoorCam,creepy,0,0.0,1
Cameras,NestOutdoorCam,creepy,1,0.0,1
Cameras,NestOutdoorCam,creepy,2,0.0,1
Cameras,NestOutdoorCam,creepy,3,0.0,1
Cameras,NestOutdoorCam,creepy,4,0.0,1
Cameras,NestOutdoorCam,creepy,5,0.0,1
Cameras,NestOutdoorCam,creepy,6,0.004274298457535774,4.0
Cameras,NestOutdoorCam,creepy,7,0.0031592640773090504,3.764705882352941
Cameras,NestOutdoorCam,creepy,8,0.004460137520906894,4.333333333333333
Cameras,NestOutdoorCam,creepy,9,0.00594685002787586,3.3125
Cameras,NestOutdoorCam,creepy,10,0.012637056309236202,4.014705882352941
Cameras,NestOutdoorCam,creepy,11,0.0013008734435978444,3.7142857142857144
Cameras,NestOutdoorCam,creepy,12,0.004088459394164653,3.0
Cameras,NestOutdoorCam,creepy,13,0.001858390633711206,2.9
Cameras,NestOutdoorCam,creepy,14,0.005203493774391377,4.25
Cameras,NestOutdoorCam,creepy,15,0.00018583906337112061,5.0
Cameras,NestOutdoorCam,creepy,16,0.0005575171901133618,1.0
Cameras,NestOutdoorCam,creepy,17,0.0005575171901133618,2.3333333333333335
Cameras,NestOutdoorCam,creepy,18,0.0031592640773090504,3.588235294117647
Cameras,NestOutdoorCam,creepy,19,0.00018583906337112061,1.0
Cameras,NestOutdoorCam,creepy,20,0.0013008734435978444,3.142857142857143
Cameras,NestOutdoorCam,creepy,21,0.004088459394164653,4.090909090909091
Cameras,NestOutdoorCam,creepy,22,0.0016725515703400855,4.111111111111111
Cameras,NestOutdoorCam,creepy,23,0.0,1
Cameras,NestOutdoorCam,creepy,24,0.0,1
Cameras,NestOutdoorCam,data,0,0.0,1
Cameras,NestOutdoorCam,data,1,0.0,1
Cameras,NestOutdoorCam,data,2,0.0,1
Cameras,NestOutdoorCam,data,3,0.0,1
Cameras,NestOutdoorCam,data,4,0.0,1
Cameras,NestOutdoorCam,data,5,0.0,1
Cameras,NestOutdoorCam,data,6,0.003345103140680171,4.055555555555555
Cameras,NestOutdoorCam,data,7,0.003345103140680171,3.8333333333333335
Cameras,NestOutdoorCam,data,8,0.0039026203307935326,4.285714285714286
Cameras,NestOutdoorCam,data,9,0.004460137520906894,3.5
Cameras,NestOutdoorCam,data,10,0.01523880319643189,4.170731707317073
Cameras,NestOutdoorCam,data,11,0.0011150343802267236,4.0
Cameras,NestOutdoorCam,data,12,0.004274298457535774,2.869565217391304
Cameras,NestOutdoorCam,data,13,0.0024159078238245677,3.8461538461538463
Cameras,NestOutdoorCam,data,14,0.0039026203307935326,4.142857142857143
Cameras,NestOutdoorCam,data,15,0.0005575171901133618,3.6666666666666665
Cameras,NestOutdoorCam,data,16,0.000929195316855603,1.8
Cameras,NestOutdoorCam,data,17,0.0011150343802267236,3.8333333333333335
Cameras,NestOutdoorCam,data,18,0.004831815647649135,4.230769230769231
Cameras,NestOutdoorCam,data,19,0.0005575171901133618,4.0
Cameras,NestOutdoorCam,data,20,0.000929195316855603,3.4
Cameras,NestOutdoorCam,data,21,0.0020442296970823266,3.272727272727273
Cameras,NestOutdoorCam,data,22,0.0013008734435978444,3.7142857142857144
Cameras,NestOutdoorCam,data,23,0.0,1
Cameras,NestOutdoorCam,data,24,0.0,1
Cameras,NestOutdoorCam,privacy,0,0.0,1
Cameras,NestOutdoorCam,privacy,1,0.0,1
Cameras,NestOutdoorCam,privacy,2,0.0,1
Cameras,NestOutdoorCam,privacy,3,0.0,1
Cameras,NestOutdoorCam,privacy,4,0.0,1
Cameras,NestOutdoorCam,privacy,5,0.0,1
Cameras,NestOutdoorCam,privacy,6,0.004831815647649135,4.269230769230769
Cameras,NestOutdoorCam,privacy,7,0.001486712506968965,4.625
Cameras,NestOutdoorCam,privacy,8,0.0039026203307935326,4.095238095238095
Cameras,NestOutdoorCam,privacy,9,0.003345103140680171,3.9444444444444446
Cameras,NestOutdoorCam,privacy,10,0.010406987548782755,4.589285714285714
Cameras,NestOutdoorCam,privacy,11,0.00037167812674224123,5.0
Cameras,NestOutdoorCam,privacy,12,0.001486712506968965,4.375
Cameras,NestOutdoorCam,privacy,13,0.0007433562534844825,4.0
Cameras,NestOutdoorCam,privacy,14,0.0031592640773090504,4.588235294117647
Cameras,NestOutdoorCam,privacy,15,0.00018583906337112061,4.0
Cameras,NestOutdoorCam,privacy,16,0.00037167812674224123,3.0
Cameras,NestOutdoorCam,privacy,17,0.00018583906337112061,5.0
Cameras,NestOutdoorCam,privacy,18,0.005017654711020256,3.3703703703703702
Cameras,NestOutdoorCam,privacy,19,0.000929195316855603,4.6
Cameras,NestOutdoorCam,privacy,20,0.0016725515703400855,4.777777777777778
Cameras,NestOutdoorCam,privacy,21,0.001858390633711206,4.4
Cameras,NestOutdoorCam,privacy,22,0.0005575171901133618,1.3333333333333333
Cameras,NestOutdoorCam,privacy,23,0.0,1
Cameras,NestOutdoorCam,privacy,24,0.0,1
Voice Assistants,GoogleHomeMini,all reviews,0,0.0,1
Voice Assistants,GoogleHomeMini,all reviews,1,0.0,1
Voice Assistants,GoogleHomeMini,all reviews,2,0.0,1
Voice Assistants,GoogleHomeMini,all reviews,3,0.0,1
Voice Assistants,GoogleHomeMini,all reviews,4,0.0,1
Voice Assistants,GoogleHomeMini,all reviews,5,0.0,1
Voice Assistants,GoogleHomeMini,all reviews,6,0.00033200531208499334,3.8
Voice Assistants,GoogleHomeMini,all reviews,7,0.0,1
Voice Assistants,GoogleHomeMini,all reviews,8,0.0,1
Voice Assistants,GoogleHomeMini,all reviews,9,0.0,1
Voice Assistants,GoogleHomeMini,all reviews,10,0.010292164674634794,4.593548387096774
Voice Assistants,GoogleHomeMini,all reviews,11,0.0,1
Voice Assistants,GoogleHomeMini,all reviews,12,0.0,1
Voice Assistants,GoogleHomeMini,all reviews,13,0.0,1
Voice Assistants,GoogleHomeMini,all reviews,14,0.5450199203187251,4.674829434697855
Voice Assistants,GoogleHomeMini,all reviews,15,0.0,1
Voice Assistants,GoogleHomeMini,all reviews,16,0.0,1
Voice Assistants,GoogleHomeMini,all reviews,17,0.0,1
Voice Assistants,GoogleHomeMini,all reviews,18,0.33386454183266934,4.709626093874304
Voice Assistants,GoogleHomeMini,all reviews,19,0.011088977423638778,4.688622754491018
Voice Assistants,GoogleHomeMini,all reviews,20,0.04203187250996016,4.710900473933649
Voice Assistants,GoogleHomeMini,all reviews,21,0.03266932270916335,4.628048780487805
Voice Assistants,GoogleHomeMini,all reviews,22,0.024701195219123506,4.685483870967742
Voice Assistants,GoogleHomeMini,all reviews,23,0.0,1
Voice Assistants,GoogleHomeMini,all reviews,24,0.0,1
Voice Assistants,GoogleHomeMini,data,0,0.0,1
Voice Assistants,GoogleHomeMini,data,1,0.0,1
Voice Assistants,GoogleHomeMini,data,2,0.0,1
Voice Assistants,GoogleHomeMini,data,3,0.0,1
Voice Assistants,GoogleHomeMini,data,4,0.0,1
Voice Assistants,GoogleHomeMini,data,5,0.0,1
Voice Assistants,GoogleHomeMini,data,6,0.0,1
Voice Assistants,GoogleHomeMini,data,7,0.0,1
Voice Assistants,GoogleHomeMini,data,8,0.0,1
Voice Assistants,GoogleHomeMini,data,9,0.0,1
Voice Assistants,GoogleHomeMini,data,10,0.00013280212483399734,4.5
Voice Assistants,GoogleHomeMini,data,11,0.0,1
Voice Assistants,GoogleHomeMini,data,12,0.0,1
Voice Assistants,GoogleHomeMini,data,13,0.0,1
Voice Assistants,GoogleHomeMini,data,14,0.013678618857901727,4.58252427184466
Voice Assistants,GoogleHomeMini,data,15,0.0,1
Voice Assistants,GoogleHomeMini,data,16,0.0,1
Voice Assistants,GoogleHomeMini,data,17,0.0,1
Voice Assistants,GoogleHomeMini,data,18,0.0069721115537848604,4.609523809523809
Voice Assistants,GoogleHomeMini,data,19,0.00019920318725099602,4.666666666666667
Voice Assistants,GoogleHomeMini,data,20,0.0010624169986719787,4.5
Voice Assistants,GoogleHomeMini,data,21,0.0005312084993359894,4.625
Voice Assistants,GoogleHomeMini,data,22,0.00039840637450199205,4.833333333333333
Voice Assistants,GoogleHomeMini,data,23,0.0,1
Voice Assistants,GoogleHomeMini,data,24,0.0,1
Voice Assistants,GoogleHomeMini,PS,0,0.0,1
Voice Assistants,GoogleHomeMini,PS,1,0.0,1
Voice Assistants,GoogleHomeMini,PS,2,0.0,1
Voice Assistants,GoogleHomeMini,PS,3,0.0,1
Voice Assistants,GoogleHomeMini,PS,4,0.0,1
Voice Assistants,GoogleHomeMini,PS,5,0.0,1
Voice Assistants,GoogleHomeMini,PS,6,0.0,1
Voice Assistants,GoogleHomeMini,PS,7,0.0,1
Voice Assistants,GoogleHomeMini,PS,8,0.0,1
Voice Assistants,GoogleHomeMini,PS,9,0.0,1
Voice Assistants,GoogleHomeMini,PS,10,0.0002656042496679947,4.5
Voice Assistants,GoogleHomeMini,PS,11,0.0,1
Voice Assistants,GoogleHomeMini,PS,12,0.0,1
Voice Assistants,GoogleHomeMini,PS,13,0.0,1
Voice Assistants,GoogleHomeMini,PS,14,0.014209827357237716,4.602803738317757
Voice Assistants,GoogleHomeMini,PS,15,0.0,1
Voice Assistants,GoogleHomeMini,PS,16,0.0,1
Voice Assistants,GoogleHomeMini,PS,17,0.0,1
Voice Assistants,GoogleHomeMini,PS,18,0.006772908366533864,4.46078431372549
Voice Assistants,GoogleHomeMini,PS,19,0.0005312084993359894,4.75
Voice Assistants,GoogleHomeMini,PS,20,0.0011288180610889774,4.588235294117647
Voice Assistants,GoogleHomeMini,PS,21,0.0010624169986719787,4.4375
Voice Assistants,GoogleHomeMini,PS,22,0.00033200531208499334,4.8
Voice Assistants,GoogleHomeMini,PS,23,0.0,1
Voice Assistants,GoogleHomeMini,PS,24,0.0,1
Voice Assistants,GoogleHomeMini,privacy,0,0.0,1
Voice Assistants,GoogleHomeMini,privacy,1,0.0,1
Voice Assistants,GoogleHomeMini,privacy,2,0.0,1
Voice Assistants,GoogleHomeMini,privacy,3,0.0,1
Voice Assistants,GoogleHomeMini,privacy,4,0.0,1
Voice Assistants,GoogleHomeMini,privacy,5,0.0,1
Voice Assistants,GoogleHomeMini,privacy,6,0.0,1
Voice Assistants,GoogleHomeMini,privacy,7,0.0,1
Voice Assistants,GoogleHomeMini,privacy,8,0.0,1
Voice Assistants,GoogleHomeMini,privacy,9,0.0,1
Voice Assistants,GoogleHomeMini,privacy,10,6.640106241699867e-05,5.0
Voice Assistants,GoogleHomeMini,privacy,11,0.0,1
Voice Assistants,GoogleHomeMini,privacy,12,0.0,1
Voice Assistants,GoogleHomeMini,privacy,13,0.0,1
Voice Assistants,GoogleHomeMini,privacy,14,0.0010624169986719787,4.25
Voice Assistants,GoogleHomeMini,privacy,15,0.0,1
Voice Assistants,GoogleHomeMini,privacy,16,0.0,1
Voice Assistants,GoogleHomeMini,privacy,17,0.0,1
Voice Assistants,GoogleHomeMini,privacy,18,0.0008632138114209827,3.923076923076923
Voice Assistants,GoogleHomeMini,privacy,19,0.00013280212483399734,5.0
Voice Assistants,GoogleHomeMini,privacy,20,6.640106241699867e-05,5.0
Voice Assistants,GoogleHomeMini,privacy,21,0.00013280212483399734,3.0
Voice Assistants,GoogleHomeMini,privacy,22,0.0,1
Voice Assistants,GoogleHomeMini,privacy,23,0.0,1
Voice Assistants,GoogleHomeMini,privacy,24,0.0,1
Voice Assistants,GoogleHomeMini,creepy,0,0.0,1
Voice Assistants,GoogleHomeMini,creepy,1,0.0,1
Voice Assistants,GoogleHomeMini,creepy,2,0.0,1
Voice Assistants,GoogleHomeMini,creepy,3,0.0,1
Voice Assistants,GoogleHomeMini,creepy,4,0.0,1
Voice Assistants,GoogleHomeMini,creepy,5,0.0,1
Voice Assistants,GoogleHomeMini,creepy,6,0.0,1
